authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"M. Carrano","M. Carrano",,23633,H.,Accarie,B.,Beaudoin,"J. Dejax, G. Friès, J.-G. Michard, P. Taquet",1995,"Découverte d'un Dinosaure théropode nouveau (Genusaurus sisteronis n. g., n. sp.) dans l'Albien marin de Sisteron (Alpes de Haute-Provence, France) et extension au Crétacé inférieur de la lignée cératosaurienne [Discovery of a new theropod dinosaur (Genusaurus sisteronis n. g., n. sp.) in the marine Albian of Sisteron (Alpes de Haute-Provence, France) and extension of the ceratosaur lineage into the Lower Cretaceous]","Comptes Rendus de l'Académie des Sciences à Paris, série IIa",,320,,327,344,"journal article","stated without evidence",French,,,ETE,,"2007-03-23 12:37:28","2007-03-24 06:37:28"
"A. Miller","P. Novack-Gottshall",,600,"F. G.",Acenolaza,,,,1968,"Geologia estratigrafica de la region de la Sierra de Cajas, Dpto. Humahuaco (Provincia de Jujuy)","Revista de la Asociacion Geologica Argentina",,23,3,207,222,,"stated without evidence",Spanish,,,,,"2002-03-04 16:40:31","2002-03-05 11:40:31"
"A. Miller","P. Novack-Gottshall",,601,"F. G.",Acenolaza,,,,1980,"Aportes a la paleontologia del Ordovicico Argentino.  I. Merlinia farouxi nov. sp. (Trilobita - Asaphidae) de Azul Pampa, Provincia de Jujuy","Acta Geologica Lilloana",,15,2,49,54,,"stated without evidence",Spanish,,,,,"2002-03-04 16:40:31","2002-03-05 11:40:31"
"A. Miller","P. Novack-Gottshall",,602,"F. G.",Acenolaza,,,,1986,"El genero Macrocystella (Cystoidea) en el Tremadociano de Salta y Jujuy","Actas del IV congreso Argentino de paleontologia y bioestratigrafia  - Simposio: Bioestratigrafia del Paleozoico Inferior.  Ed. A. Cuerda.",,1,,133,137,,"stated without evidence",Spanish,,,,,"2002-03-04 16:40:31","2002-03-05 11:40:31"
"A. Miller","P. Novack-Gottshall",,604,"F. G.",Acenolaza,F.R.,Durand,,1983,"Observaciones sobre la fauna graptolitica Tremadociana del Famatina, La Rioja","Correlacion Geologica",,16,,129,131,,"stated without evidence",Spanish,,,,,"2002-03-04 16:40:31","2002-03-05 11:40:31"
"M. Uhen","M. Uhen",,27227,C.,"Acosta Hospitaleche",L.,Castro,"C. Tambussi, R. A. Scasso",2008,"Palaeospheniscus patagonicus (Aves, Sphenisciformes): New disoveries from the early Miocene of Argentina","Journal of Paleontology",,82,3,565,575,"journal article","stated without evidence",English,,,,,"2008-05-20 11:20:36","2008-05-21 04:20:36"
"M. Uhen","M. Uhen",,43660,C.,"Acosta Hospitaleche",N.,Haidr,,2011,"Penguin cranial remains from the Eocene La Meseta Formation, Isla Marambio (Seymour Island), Antarctic Peninsula","Antarctic Science",,23,4,369,378,"journal article","stated without evidence",English,,,,,"2012-11-29 02:26:13","2012-11-29 02:26:13"
"M. Uhen","M. Uhen","M. Uhen",34240,C.,"Acosta Hospitaleche",M.,Reguero,,2010,"First articulated skeleton of Palaeeudyptes gunnari from the Late Eocene of Isla Marimbo (Seymour Island), Antarctica","Antarctic Science",,22,3,289,298,"journal article","stated without evidence",English,,,,,"2010-11-16 06:22:13","2010-12-07 07:18:31"
"A. Hendy","A. Hendy","A. Hendy",19272,"W. O.",Addicott,,,,1959,"Late Pleistocene Invertebrates from Punta Cabras, Baja California, Mexico","American Museum Novitates",,1925,,1,33,"journal article","stated without evidence",English,,,1%,,"2006-11-27 21:35:34","2006-12-13 03:46:49"
"A. Hendy","A. Hendy",,32776,"W. O.",Addicott,,,,1963,"Interpretation of the invertebrate fauna from the Upper Pleistocene Battery Formation near Crescent City, California","Proceedings of the California Academy of Sciences",,31,13,341,347,"journal article","stated without evidence",English,,,,,"2010-06-12 10:10:36","2010-06-13 03:10:36"
"A. Miller","A. Hendy","A. Hendy",10063,W.O.,Addicott,,,,1966,"Late Pleistocene marine paleoecology and zoogeography on Central California","United States Geological Survey Professional Paper",,523,C,1,27,"journal article","stated without evidence",,,,,,"2004-03-20 07:13:17","2004-03-21 02:13:42"
"A. Hendy","A. Hendy",,32781,"W. O.",Addicott,,,,1969,"Late Pliocene mollusks from San Francisco Peninsula, California, and their paleogeographic significance","Proceedings of the California Academy of Sciences",,37,3,57,93,"journal article","stated with evidence",English,,,,,"2010-06-12 22:54:34","2010-06-13 15:54:34"
"A. Hendy","A. Hendy","A. Hendy",24557,"W. O.",Addicott,,,,1973,"Oligocene molluscan biostratigraphy and paleontology of the Lower Part of the type Temblor Formation, California","United States Geological Survey Professional Paper",,791,,1,48,"serial monograph","stated with evidence",English,,,,,"2007-06-02 21:19:50","2007-06-03 14:20:01"
"A. Miller","A. Hendy","A. Hendy",10046,W.O.,Addicott,,,,1976,"Molluscan paleontology of the lower Miocene Clallam Formation, northwestern Washington","United States Geological Survey Professional Paper",,976,,1,44,"journal article","stated without evidence",,,,,,"2004-03-16 20:04:43","2004-03-17 15:04:43"
"A. Miller","A. Hendy","A. Hendy",11128,W.O.,Addicott,G.,Plafker,,1971,"Paleocene mollusks from the Gulf of Alaska Tertiary province - a significant new occurrence on the North Pacific Rim","United States Geological Survey Professional Paper",,750,B,48,52,"journal article","stated without evidence",,,,,,"2004-07-16 00:21:14","2004-07-16 17:21:14"
"L. Ivany","P. Wall",,27609,O.S.,Adegoke,,,,1967,"Wyattella, a New Turritellid Genus from the Eocene of Colombia, South America","Journal of Paleontology",,41,5,1095,1100,"journal article","stated without evidence",English,,,,,"2008-07-15 09:48:25","2008-07-16 02:48:25"
"A. Miller","J. Sessa",,27147,O.S.,Adegoke,,,,1968,"Eocene stratigraphy of southern Nigeria","Memoires du Bureau de Recherches Geologiques et Minieres",,69,,23,47,"journal article","stated without evidence",English,,,,,"2008-05-06 13:15:28","2008-05-07 06:15:28"
"A. Miller","A. Hendy","A. Hendy",11669,O.S.,Adegoke,,,,1969,"Stratigraphy and paleontology of the marine Neogene formations of the Coalinga region, California","University of California Publications in Geological Sciences",,80,,,,"serial monograph","stated without evidence",,,"Only Cenozoic 5 collections entered",,,"2004-09-10 07:24:25","2004-09-11 00:24:25"
"M. Foote","M. Foote","M. Foote",7654,"J. M.",Adrain,"B. D. E.",Chatterton,,1993,"A new rorringtoniid trilobite from the Ludlow of Arctic Canada","Canadian Journal of Earth Sciences",,30,,1634,1643,"journal article","stated without evidence",,,,,,"2003-01-17 10:04:06","2003-01-18 05:04:14"
"A. Miller","P. Novack-Gottshall","J. Alroy",137,"J. M.",Adrain,"G. J.",Kloc,,1997,"Lower Devonian aulacopleuroidean trilobites from Oklahoma","Journal of Paleontology",,71,4,703,712,"journal article","stated without evidence",,,,,,"1999-07-25 17:32:36","2009-11-23 09:26:17"
"M. Hopkins","M. Hopkins",,35503,"J. M.",Adrain,D.-C.,Lee,"S. R. Westrop, B. D. E. Chatterton, E. Landing",2003,"Classification of the trilobite subfamilies Hystricurinae and Hintzecurinae subfam. nov. with new genera from the Lower Ordovician (Ibexian) of Idaho and Utah","Memoirs of the Queensland Museum",,48,2,553,586,"journal article","stated with evidence",English,,,,,"2011-03-12 04:43:24","2011-03-12 04:43:24"
"W. Kiessling","S. Nurnberg","S. Nurnberg",13416,A.,Afanasjeva,,,,1975,"Chonetacea (Brachiopoda) from the Middle and Upper Carboniferous of the Russian platform.","Paleontologicheskiy Zhurnal",,1975,2,96,113,"journal article","stated without evidence",,,,,,"2005-05-02 13:35:04","2005-05-03 06:35:04"
"M. Clapham","M. Clapham",,27461,"G. A.",Afanasjeva,,,,1977,"Permochonetes n. gen. (Brachiopoda) from the Lower Permian of the Pamirs","Paleontological Journal",,11,,138,141,"journal article","stated without evidence",English,,,,,"2008-06-27 18:03:42","2008-06-28 11:03:42"
"M. Clapham","M. Clapham","M. Clapham",37658,"G. A.",Afanasjeva,,,,1977,"Suborder Chonetidina, in Pozdnepaleozoyskie produktidy Sibiri i Arktiki","Akademiya Nauk SSSR, Trudy Paleontologicheskogo Instituta",,161,,5,41,"journal article","stated with evidence",Russian,,,,,"2011-09-16 12:38:53","2013-04-07 06:23:02"
"M. Clapham","M. Clapham",,33424,"G. A.",Afanasjeva,,,,1981,"A revision of the genus Chonetina (Brachiopoda)","Paleontological Journal",,15,,36,41,"journal article","stated with evidence",English,,,,,"2010-08-28 08:46:16","2010-08-29 01:46:16"
"M. Clapham","M. Clapham",,27463,"G. A.",Afanasjeva,,,,2000,"A new genus Pinegochonetes (Brachiopoda, Chonetida) from the Kazanian of the Russian platform","Paleontological Journal",,34,3,287,289,"journal article","stated without evidence",English,,,,,"2008-06-27 18:17:43","2008-06-28 11:17:43"
"M. Clapham","M. Clapham",,36424,"G. A.",Afanasjeva,H.,Ishiga,"J. I. Tazawa",2011,"New Species of Fanichonetes Xu et Grant (Brachiopoda, Chonetida) from the Lower Permian of South Korea","Paleontological Journal",,45,3,266,269,"journal article","stated with evidence",English,,,,,"2011-06-15 04:33:37","2011-06-15 04:33:37"
"M. Clapham","M. Clapham",,33950,"G. A.",Afanasjeva,J.,Tazawa,,2010,"New Genus Kanokurachonetes (Brachiopoda, Chonetida) from the Middle Permian of the Southern Kitakami Mountains, Northeast Japan","Paleontological Journal",,44,1,16,20,"journal article","stated with evidence",English,,,,,"2010-09-27 09:55:00","2010-09-28 02:55:00"
"M. Clapham","M. Clapham",,27462,"G. A.",Afanasyeva,,,,1988,"New chonetids (brachiopods) from the Permian deposits of Verkhoyan","Paleontological Journal",,22,2,108,112,"journal article","stated without evidence",English,,,,,"2008-06-27 18:09:47","2008-06-28 11:09:47"
"M. Clapham","M. Clapham",,40920,"S. A.",Afonin,,,,2000,"Pollen grains of the genus Cladaitina extracted from the gut of the Early Permian insect Tillyardembia (Grylloblattida)","Paleontological Journal",,34,,575,579,"journal article","none discussed",English,,,,,"2012-03-28 02:32:45","2012-03-28 02:32:45"
"M. Clapham","M. Clapham",,44184,"D. V.",Ager,,,,1954,"The genus Gibbirhynchia in the British Domerian","Proceedings of the Geologists' Association",,65,,25,51,"journal article","stated with evidence",English,,,,,"2013-01-06 13:38:43","2013-01-06 13:38:43"
"J. Pálfy","M. Bosnakoff",,42701,"D. V.",Ager,M.,Gutnic,"T. Juteau, O. Monod",1980,"New Early Mesozoic brachiopods from southern Turkey","Bulletin of the Mineral Research and Exploration Institute of Turkey",,91,,59,75,"journal article","stated without evidence",English,,,,,"2012-08-21 22:16:10","2012-08-21 22:16:10"
"D. Bottjer","N. Bonuso","M. Clapham",11644,"D. V.",Ager,"G. E. G.",Westermann,,1963,"New Mesozoic Brachiopods From Canada","Journal of Paleontology",,37,3,595,610,"journal article","stated without evidence",English,,,,,"2004-09-08 10:12:39","2012-09-01 10:10:19"
"M. Aberhan","S. Nurnberg",,19806,"S. K.",Agrawal,"R. P.",Kachhara,,1979,"Habo Beds near Ler (Kutch): Pt. 3 - Biostratigraphy of the beds on the east of Ler","Proceedings of the Indian National Science Academy, Part A: Physical Sciences",,45,2,129,146,"journal article","stated without evidence",English,,,1%,,"2007-02-01 05:56:50","2007-02-02 00:56:50"
"A. Hendy","A. Hendy","A. Hendy",31280,"O. A.",Aguilera,,,,2004,,"Tesoros Paleontológicos de Venezuela",,,,1,148,"book/book chapter","second hand",Spanish,,,,,"2009-11-27 13:13:20","2009-11-28 08:16:22"
"A. Hendy","A. Hendy",,24198,"M. L.",Aguirre,S.,Richiano,"Y. Negro Sirch",2006,"Paleoenvrionments and paleoclimates of the Quaternary molluscan faunas from the coastal area of Bahía Vera-Camarones (Chubut, Patagonia)","Palaeogeography, Palaeoclimatology, Palaeoecology",,229,,251,286,"journal article","stated without evidence",English,,,,,"2007-05-01 00:38:22","2007-05-01 17:38:22"
"M. Aberhan","S. Nurnberg","S. Nurnberg",23784,"M. B.",Aguirre-Urreta,,,,1986,"Aptian ammonites from the argentinian Austral Basin. The Subfamily Helicancylinae Hyatt, 1894","Ann. S. Afr. Mus.",,96,7,271,314,"serial monograph","stated without evidence",English,,,,,"2007-04-12 08:32:44","2007-04-13 05:24:27"
"W. Kiessling","U. Merkel",,19009,"M. B.",Aguirre-Urreta,,,,1989,"The Cretaceous decapod Crustacea of Argentina and the Antarctic Pensinsula",Palaeontology,,32,3,499,552,"journal article","stated without evidence",English,,,,,"2006-10-12 02:45:08","2006-10-12 19:45:19"
"M. Aberhan","S. Nurnberg",,18861,"M. B.",Aguirre-Urreta,,,,1998,"The ammonites Karakaschiceras and Neohoploceras (Valanginian Neocomitidae) from the Neuquen Basin, West-Central Argentina","Journal of Paleontology",,72,,39,59,"journal article","stated without evidence",English,,,,,"2006-09-22 05:00:30","2006-09-22 22:00:55"
"M. Aberhan","S. Nurnberg",,23787,"M. B.",Aguirre-Urreta,"H. C.",Klinger,,1986,"Upper Barremian Heteroceratinae (Cephalopoda, Ammonoidea) from Patagonia and Zululand, with comments on the systematics of the subfamily","Ann. S. Afr. Mus.",,96,8,315,358,"serial monograph","stated without evidence",English,,,,,"2007-04-12 13:06:22","2007-04-13 06:06:32"
"J. Alroy","E. Leckey","E. Leckey",10016,"M. B.",Aguirre-Urreta,"P. F.",Rawson,,1999,"Lower Cretaceous ammonites from the Neuquen Basin, Argentina: Viluceras, a new Valnginian subgenus of Olcostephanus","Cretaceous Research",,20,,343,357,"journal article","stated without evidence",English,,,,,"2004-03-11 16:42:39","2004-03-12 11:42:40"
"A. Miller","A. Hendy","A. Hendy",13543,M.B,Aguirre-Urreta,P.F.,Rawson,,2001,"Lower Cretaceous ammonites from the Neuquen Basin, Argentina: the Hauterivian neocomitid genus Hoplitocioceras (Giovine, 1950)","Cretaceous Research",,22,,201,218,"journal article","stated without evidence",English,,"Keywords: Argentina, Neuquen Basin, ammonites, Neocomitidae, biostratigraphy, Lower Cretaceous, Lower Hauterivian",,,"2005-05-17 18:22:25","2005-05-18 11:22:25"
"W. Kiessling","U. Merkel",,17762,"M. B.",Aguirre-Urreta,"P. F.",Rawson,,2001,"Lower Cretaceous ammonites from the Neuquén Basin, Argentina: a Hauterivian Olcostephanus fauna","Cretaceous Research",,22,6,763,778,"journal article","stated without evidence",English,,,,,"2006-06-22 06:26:02","2006-06-22 23:26:33"
"W. Kiessling","U. Merkel",,17755,"M. B.",Aguirre-Urreta,"P. F.",Rawson,,2003,"Lower Cretaceous ammonites from the Neuquén Basin, Argentina: the Hauterivian genus Holcoptychites","Cretaceous Research",,24,5,589,613,"journal article","stated without evidence",English,,,,,"2006-06-20 06:14:35","2006-06-20 23:15:17"
"M. Patzkowsky","A. Krug","A. Krug",11245,P,Ahlberg,,,,1976,"Redescription of a Lower Cambrian eodiscid trilobite from Norway","Norsk Geologisk Tidsskrift",,63,,289,290,"journal article","stated without evidence",,,,1%,,"2004-07-26 13:30:14","2004-07-27 06:30:14"
"F. Fursich","F. Fursich","F. Fursich",9529,F.,Ahmad,,,,1998,"Taxonomy and palaeoecology of the benthic macroinvertebrate fauna from the Middle Jurassic of northwestern Jordan",,,,,,,"Ph.D. thesis","stated without evidence",,,,,,"2003-11-28 05:20:07","2003-11-29 00:20:07"
"M. Uhen","M. Uhen",,16749,H.,Ahrens,,,,2005,"Weer een schedel van Protophocaena minima erbij!",Cranium,,22,1,41,44,"journal article","stated without evidence",English,,,,,"2006-03-06 06:10:38","2006-03-07 01:10:38"
"W. Kiessling","M. Krause","M. Krause",44505,G.,Aiello,J.,Szczechura,,2004,"Middle Miocene ostracods of the Fore-Carpathian Depression (Central Paratethys, southwestern Poland)","Bollettino della Societa Paleontologica Italiana",,43,1-2,11,70,"journal article","stated with evidence",English,,,,,"2013-01-29 03:58:25","2013-01-29 19:32:22"
"J. Alroy","J. Alroy","J. Alroy",929,"W. A.",Akersten,"H. G.",McDonald,,1991,"Nothrotheriops from the Pleistocene of Oklahoma and paleogeography of the genus","Southwestern Naturalist",,36,2,178,185,"journal article","none discussed",English,,,,,"2001-03-02 15:01:30","2008-12-03 14:07:31"
"W. Kiessling","F. Reichel",,26991,"A. A.",Al-Laboun,B.H.,Walthall,,1988,"The Devonian of the Arabian Peninsula","Devonian of the World: Regional Syntheses",,1,,569,577,"book/book chapter","stated without evidence",English,,,,,"2008-04-10 01:39:46","2008-04-10 18:39:46"
"M. Patzkowsky","A. Krug",,3996,"L. P.",Alberstadt,,,,1973,"Articulate brachiopods of the Viola Formation (Ordovician) in the ARbuckle Mountains, Oklahoma","Oklahoma Geological Survey Bulletin",,117,,1,90,"journal article","stated without evidence",,,,,,"2002-03-04 16:40:35","2002-03-05 11:40:35"
"M. Foote","M. Foote","M. Foote",7485,"G. K. B.",Alberti,,,,1970,"Trilobiten des juengeren Siluriums sowie des Unter- und Mitteldevons. II.","Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft",,525,,1,233,"serial monograph","stated without evidence",German,,,,,"2002-11-14 07:37:45","2002-11-15 02:37:58"
"M. Carrano","H. Street",,33380,"L. B.",Albright,"D. D.",Gillette,"A. L. Titus",2007,"Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 1: new records of the pliosaur Brachauchenius lucasi","Journal of Vertebrate Paleontology",,27,1,31,40,"journal article","stated with evidence",English,,,,,"2010-08-24 13:57:28","2010-08-25 06:57:28"
"M. Carrano","H. Street",,33381,"L. B.",Albright,"D. D.",Gillette,"A. L. Titus",2007,"Plesiosaurs from the Upper Cretaceous (Cenomanian-Turonian) Tropic Shale of southern Utah, part 2: Polycotylidae","Journal of Vertebrate Paleontology",,27,1,41,58,"journal article","stated with evidence",English,,,,,"2010-08-24 14:13:22","2010-08-25 07:13:22"
"A. Miller","A. Hendy","A. Hendy",9438,"T. H.",Aldrich,,,,1921,"New Eocene species from Alabama","Bulletins of American Paleontology",,9,37,,,"journal article","stated without evidence",English,,"Keywords: Alabama; Cenozoic; Eocene; Eocene Mollusca; Invertebrata; Mollusca; Paleogene; paleontology; Tertiary; United States",1%,22880,"2003-10-31 01:29:05","2003-10-31 20:29:05"
"P. Wagner","P. Wagner","A. Hendy",15709,"R. J.",Aldridge,S.,Turner,"G.L. Jones, D.A.T. Harper",1996,"Late Llandovery thelodonts and conodonts from the Kilbride Formation, Co. Galway, western Ireland","Geological Journal",,31,4,359,367,"journal article","stated with evidence",English,,,,,"2006-01-25 10:44:12","2009-07-16 15:05:40"
"A. Hendy","A. Hendy",,34215,G.,Alencáster,L.,Omaña,"C. Gonzalez-Arreola, D. Hernández-Láscares",2009,"First record of the genus Trichites (Mollusca, Bivalvia) from the Upper Jurassic (Kimmeridgian) of Santiago Coatepec, Puebla, Mexico","Revista Mexicana de Ciencias Geológias",,26,3,647,657,"journal article","stated without evidence",English,,,,,"2010-11-14 01:49:21","2010-11-14 01:49:21"
"W. Kiessling","U. Merkel",,24273,R.,Allegre,,,,1939,"Quelques Membraniporides du Cretace de l'Aures (Algerie) [Cretaceous Membraniporidae from Aures (Algeria)","Bulletin du Museum National d'Histoire Naturelle",,11,1,163,166,"journal article","stated without evidence",French,,,1%,21740,"2007-05-14 01:04:31","2007-05-14 18:04:31"
"A. Miller","A. Hendy","A. Hendy",10099,"J. E.",Allen,E.M.,Baldwin,,1944,"Geology and coal resources of the Coos Bay Quadrangle, Oregon","State of Oregon Department of Geology and Mineral Industries Bulletin",,27,,1,160,"serial monograph","stated without evidence",,,"General geologic and economic geologic information relevant to local coal industry",,,"2004-03-25 15:00:04","2004-03-26 10:00:04"
"C. Schweitzer","C. Schweitzer",,19602,"J. G.",Allen,"R. M.",Feldmann,,2005,"Panduralimulus babcocki n. gen. and sp., a new limulacean horseshoe crab from the Permian of Texas","Journal of Paleontology",,79,3,594,600,"journal article","stated without evidence",English,,,decapod,,"2007-01-06 12:06:59","2007-01-07 07:06:59"
"A. Miller","P. Novack-Gottshall",,176,"P. M.",Allen,"A. A.",Jackson,"A. W. A. Rushton",1981,"The stratigraphy of the Mawddach Group in the Cambrian succesion of North Wales","Proceedings of the Yorkshire Geological Society",,43,3,295,329,,"stated without evidence",,,,,,"1999-07-29 05:38:22","1999-07-29 22:38:22"
"S. Holland","T. Hanson","T. Hanson",8741,"A. T.",Allen,"J. G.",Lester,,1957,"Zonation of the Middle and Upper Ordovician strata in northwestern Georgia","Georgia State Division of Conservation, the Geological Survey Bulletin",,66,,1,104,"serial monograph","stated without evidence",,,,,,"2003-06-27 14:34:36","2003-06-28 07:34:36"
"J. Alroy","M. Sommers","J. Alroy",51,"E. C.",Allison,,,,1955,"Middle Cretaceous gastropoda from Punta China, Baja California, Mexico","Journal of Paleontology",,29,3,400,432,"journal article","stated without evidence",,,,,,"1999-06-10 11:25:17","2009-11-23 09:24:02"
