genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Acastoides,416.000,409.100,6,0,NaN
Acbastaucrinus,376.100,360.700,7,0,NaN
Acculina,460.900,449.500,6,6,0.0845
Acdalopora,449.500,443.700,3,0,NaN
Acernaspis,449.500,436.000,12,0,NaN
Acervularia,428.200,383.700,35,0,NaN
Acesta,164.700,23.030,41,18,0.0161
Acharax,13.650,11.608,1,0,NaN
Achatella,460.900,443.700,8,2,0.1231
Acheilops,498.500,488.300,4,0,NaN
Acheilus,501.000,488.300,4,0,NaN
Achguigites,402.500,391.900,2,0,NaN
Achistrum,391.900,161.200,44,0,NaN
Achlysopsis,513.000,505.000,1,0,NaN
Achradocrinus,443.700,428.200,1,0,NaN
Aciculolenus,501.000,488.300,1,0,NaN
Acidaspis,452.000,426.200,37,30,0.0372
Acidiphorus,488.300,455.800,64,8,0.0177
Acidolites,456.100,439.000,6,0,NaN
Acila,125.450,33.900,16,0,NaN
Acilia,215.560,212.000,1,1,0.0049
Acinophyllum,409.100,388.100,26,0,NaN
Acirsa,164.700,23.030,2,1,0.0100
Acleistoceras,391.900,383.700,8,0,NaN
Aclis,65.500,23.030,5,1,0.0001
Aclisina,360.700,247.200,16,7,0.0168
Acmaea,205.600,0.012,12,4,0.0005
Acmarhachis,501.000,488.300,4,1,1.0000
Acmophyllum,418.700,416.000,1,0,NaN
Acoelia,268.000,265.000,2,0,NaN
Acoelocalyx,89.300,85.800,1,0,NaN
Acolocrinus,460.900,449.500,2,0,NaN
Acolosia,290.100,268.000,5,0,NaN
Acompsoceras,99.600,93.500,2,1,0.0196
Aconeceras,130.000,99.600,4,2,0.0144
Acosarina,303.400,252.300,214,30,0.0919
Acratia,388.100,183.000,266,1,0.0028
Acratina,298.900,265.000,2,0,NaN
Acratinella,383.700,259.000,3,0,NaN
Acrhelia,55.800,2.588,2,0,NaN
Acrioceras,130.000,130.000,17,0,NaN
Acritosia,298.900,265.000,58,8,0.0377
Acrochordiceras,247.200,242.000,98,66,0.1861
Acrocidaris,161.200,130.000,10,1,0.0025
Acrocoelites,183.000,175.600,9,0,NaN
Acrocrinus,336.000,326.400,17,17,0.0066
Acrocyathus,345.000,336.000,3,0,NaN
Acrocythere,189.600,183.000,1,0,NaN
Acropeltis,161.200,145.500,2,0,NaN
Acrophyllum,402.500,388.100,8,0,NaN
Acropora,58.700,0.00187,759,95,0.0917
Acropsammia,23.030,15.970,1,0,NaN
Acropyge,268.000,252.300,4,0,NaN
Acrosaccus,460.900,456.100,3,0,NaN
Acrosalenia,183.000,136.400,60,6,0.0140
Acrosmilia,167.700,33.900,43,6,0.0184
Acrospira,279.500,272.500,2,2,0.0053
Acrospirifer,412.300,383.700,21,2,0.0393
Acrosterigma,15.970,0.012,13,3,0.0069
Acroteuthis,145.500,140.200,6,0,NaN
Acrothele,516.000,498.500,22,4,0.0630
Acrothyra,520.000,501.000,12,8,0.4771
Acrotreta,516.000,455.800,23,1,0.9315
Acroura,155.700,150.800,1,1,0.0294
Actaea,7.246,5.332,3,0,NaN
Actea,150.800,145.500,4,3,0.0303
Acteocina,65.500,0.000,14,7,0.0481
Acteon,140.200,5.332,25,5,0.0015
Acteonella,112.030,65.500,44,0,NaN
Acteonina,336.000,89.300,22,12,0.0107
Actinacis,130.000,15.970,135,13,0.0378
Actinaraea,189.600,85.800,93,21,0.0548
Actinastrea,242.000,3.600,228,50,0.0974
Actinhelia,70.600,65.500,9,0,NaN
Actinocamax,99.600,85.800,6,5,0.0213
Actinoceramus,105.300,93.500,11,4,0.0584
Actinoceras,471.800,336.000,78,4,0.0926
Actinochilina,460.900,449.500,1,0,NaN
Actinocoelia,279.500,252.300,6,0,NaN
Actinoconchus,360.700,318.100,18,2,0.0411
Actinoconus,542.000,516.000,1,0,NaN
Actinocrinites,353.800,339.400,14,2,0.0062
Actinocyathus,336.000,318.100,5,2,0.1112
Actinodesma,402.500,391.900,1,0,NaN
Actinodictyon,439.000,383.700,18,1,0.0372
Actinodiscus,455.800,449.500,5,0,NaN
Actinodochmioceras,436.000,428.200,1,0,NaN
Actinofungia,235.000,136.400,3,0,NaN
Actinolobus,463.500,460.900,3,0,NaN
Actinomena,460.900,449.500,1,0,NaN
Actinopeltis,478.600,445.600,8,1,0.0015
Actinophlebia,183.000,182.000,2,2,0.0412
Actinophrentis,318.100,272.500,9,8,0.0149
Actinopterella,422.900,416.000,2,0,NaN
Actinopteria,428.200,298.900,39,1,0.0149
Actinostreon,232.000,125.450,302,184,0.0366
Actinostroma,436.000,155.700,310,26,0.0519
Actinostromaria,155.700,89.300,37,2,0.0252
Actinostromarianina,150.800,136.400,5,3,0.0572
Actinostromella,426.200,412.300,3,1,0.6364
Actinostromina,155.700,145.500,5,1,0.1176
Actinotrypella,272.500,268.000,1,0,NaN
Actostroma,164.700,122.460,8,0,NaN
Aculatostroma,416.000,391.900,3,0,NaN
Acuminothyris,360.700,326.400,3,0,NaN
Acuticarpus,501.000,488.300,1,1,1.0000
Acutichiton,303.400,279.500,3,1,1.0000
Acuticloudina,516.000,513.000,1,0,NaN
Acuticryphops,379.500,376.100,1,0,NaN
Acutimitoceras,364.700,353.800,25,0,NaN
Acutiramus,418.700,412.300,4,0,NaN
Acutirostriconus,542.000,516.000,1,0,NaN
Acutomeekoceras,251.300,247.200,1,0,NaN
Acutostrea,83.500,61.700,37,3,0.0187
Adaecyathus,516.000,513.000,7,7,0.7298
Adamczakia,428.200,418.700,1,0,NaN
Adamnestia,0.126,0.012,1,0,NaN
Adamsoceras,471.800,457.500,2,0,NaN
Adansonella,65.500,61.700,1,1,0.0022
Adatsagochonetes,290.100,279.500,1,1,1.0000
Adaverina,428.200,418.700,2,0,NaN
Adegokeastrea,65.500,55.800,1,0,NaN
Adelocoenia,167.700,93.500,39,5,0.0257
Adelodonex,70.600,65.500,1,0,NaN
Adelograptus,488.300,471.800,1,0,NaN
Adelomelon,11.608,5.332,2,0,NaN
Adelopneustes,65.500,61.700,1,0,NaN
Adelphoceras,339.400,336.000,1,0,NaN
Ademosyne,247.200,242.000,1,1,0.2222
Adensu,460.900,449.500,1,0,NaN
Adeonellopsis,40.400,28.400,3,0,NaN
Adeorbisina,171.600,167.700,2,0,NaN
Adiagoceras,416.000,412.300,1,1,0.5566
Adinocrinus,345.300,326.400,4,1,0.0339
Adiozoptyxis,122.460,109.000,3,0,NaN
Adkinsella,109.000,105.300,1,0,NaN
Adkinsia,99.600,93.500,1,0,NaN
Adlatipora,298.900,265.000,16,0,NaN
Admetula,65.500,61.700,2,0,NaN
Admirandopora,345.300,318.100,1,0,NaN
Adnethiceras,201.600,189.600,1,1,0.0545
Adocetocystis,383.700,360.700,1,1,0.0075
Adolfia,379.500,345.300,27,7,0.0040
Adradosia,388.100,383.700,1,0,NaN
Adrana,28.400,5.332,4,0,NaN
Adrenia,409.100,391.900,5,0,NaN
Adriana,272.500,268.000,3,3,0.0012
Adrianites,295.000,259.000,11,0,NaN
Adriatella,155.700,145.500,1,1,0.3000
Advenaster,167.700,164.700,1,0,NaN
Adygeites,205.600,201.600,1,1,1.0000
Adygella,247.200,215.560,15,8,0.0274
Adygelloides,221.500,201.600,1,1,0.0156
Adyshevitheca,520.000,513.000,13,0,NaN
Aechmella,65.500,61.700,4,2,0.0307
Aechmina,452.000,279.500,40,0,NaN
Aechminaria,416.000,416.000,4,0,NaN
Aechminella,388.100,383.700,2,0,NaN
Aedotes,501.000,498.500,1,0,NaN
Aegasteroceras,196.500,189.600,2,0,NaN
Aegeiceras,247.200,242.000,2,1,0.5000
Aeger,242.000,189.600,4,0,NaN
Aegides,542.000,530.000,1,0,NaN
Aegiria,449.500,418.700,10,0,NaN
Aegiromena,460.900,449.500,3,0,NaN
Aegitellus,542.000,520.000,4,0,NaN
Aegoceras,189.600,183.000,1,0,NaN
Aemula,83.500,65.500,9,0,NaN
Aemulophyllum,409.100,388.100,1,0,NaN
Aenigmatoceras,318.100,314.600,16,16,0.0495
Aenne,205.600,201.600,1,1,1.0000
Aenona,83.500,65.500,19,1,0.0072
Aeora,61.700,61.700,1,1,0.0002
Aequipecten,247.200,0.012,91,6,0.0114
Aequspiriferina,247.200,242.000,2,0,NaN
Aeschnogomphus,150.800,145.500,10,10,0.0550
Aeschnopsis,150.800,140.200,2,1,0.0137
Aesiocrinus,318.100,268.000,1,0,NaN
Aesopomum,422.900,409.100,11,5,0.0029
Aethocola,28.400,23.030,3,0,NaN
Aetholicotoxotis,426.200,422.900,1,0,NaN
Aetostreon,145.500,136.400,7,0,NaN
Aexitrophocrinus,339.400,306.950,5,0,NaN
Afiacyathus,520.000,513.000,30,0,NaN
Africogryphaea,171.600,161.200,10,9,0.0503
Afrocardium,11.608,0.012,2,0,NaN
Afrocytheridea,164.700,155.700,16,0,NaN
Afrollonia,61.700,61.700,4,3,0.0034
Aganaster,345.300,342.800,1,0,NaN
Agarhyncha,426.200,418.700,5,0,NaN
Agaricia,28.400,0.00303,235,98,0.0737
Agariciella,0.12,0.12,1,1,0.0333
Agaricocrinus,345.300,345.000,27,1,0.0021
Agarikophyllum,272.500,259.000,1,0,NaN
Agaronia,61.700,15.970,15,1,0.0083
Agasoma,15.970,13.600,1,0,NaN
Agassiceras,196.500,189.600,2,2,0.0330
Agassizia,40.400,23.030,22,3,0.0465
Agassizocrinus,336.000,326.400,8,5,0.0071
Agastophyllum,391.900,383.700,3,0,NaN
Agastrocyathus,520.000,513.000,14,0,NaN
Agathelia,145.500,28.400,15,1,0.0284
Agathiceras,303.400,259.000,59,6,0.0476
Agathiphyllia,65.500,11.608,65,7,0.0749
Agatrix,33.900,28.400,3,1,0.0072
Agelacrinites,460.900,360.700,2,1,0.0926
Agelasina,93.500,65.500,6,0,NaN
Agelesia,279.500,272.500,21,0,NaN
Agerchlamys,201.600,183.000,9,0,NaN
Ageria,83.500,65.500,1,0,NaN
Agerina,478.600,466.000,1,0,NaN
Agerostrea,83.500,65.500,103,0,NaN
Agetolitella,449.500,443.700,5,0,NaN
Agetolites,449.500,443.700,30,0,NaN
Aggomorphastraea,167.700,161.200,3,0,NaN
Aghdarbandites,247.200,242.000,22,20,0.4013
Aglaocrinus,313.800,305.900,1,0,NaN
Aglaoglypta,388.100,376.100,8,0,NaN
Agnesia,388.100,345.300,6,0,NaN
Agniesella,388.100,383.700,2,0,NaN
Agnomyax,70.600,65.500,1,0,NaN
Agnostocrinus,290.100,265.000,2,1,0.0039
Agnostus,530.000,478.600,7,1,0.0127
Agoniatites,416.000,383.700,31,0,NaN
Agraulos,501.000,488.300,2,0,NaN
Agrawalimya,167.700,161.200,2,2,0.0691
Agrillium,145.500,140.200,4,4,0.0137
Agriopleura,136.400,65.500,24,0,NaN
Agriopoma,37.200,11.608,4,1,0.2500
Agrostyliastraea,112.030,99.600,1,0,NaN
Aguilerella,196.500,130.000,4,2,0.0257
Aguileria,99.600,93.500,5,0,NaN
Agyrekia,516.000,513.000,1,1,0.0559
Ainia,428.200,422.900,1,0,NaN
Ainigmacrinus,235.000,221.500,1,0,NaN
Airtonia,345.300,345.000,1,0,NaN
Ajacicyathellus,520.000,513.000,3,0,NaN
Ajacicyathus,530.000,513.000,93,0,NaN
Aka,196.500,109.000,6,0,NaN
Akagophyllum,306.950,259.000,8,0,NaN
Akasakiella,265.000,259.000,2,1,0.0008
Akera,171.600,28.400,8,1,0.0082
Akiyosiphyllum,345.300,326.400,2,0,NaN
Akleistostoma,3.600,2.588,3,0,NaN
Akmilleria,295.000,279.500,3,0,NaN
Aknisophyllum,416.000,412.300,3,0,NaN
Akrosphaerorthoceras,422.900,416.000,13,1,0.0625
Aktastioceras,298.900,295.000,1,0,NaN
Aktubonautilus,290.100,279.500,1,1,0.0022
Aktugaiella,498.500,488.300,1,0,NaN
Alabushevothyris,112.030,105.300,1,1,0.2143
Alacephalus,520.000,513.000,3,0,NaN
Alaina,412.300,409.100,3,0,NaN
Alaionema,391.900,388.100,1,0,NaN
Alaiophyllum,388.100,376.100,11,4,0.0049
Alakiria,221.500,196.500,3,1,0.2000
Alanisia,520.000,516.000,2,0,NaN
Alanites,247.200,242.000,2,2,0.0068
Alaria,201.600,150.800,7,1,0.0029
Alaskacirrus,409.100,402.500,1,1,0.2632
Alaskadiscus,457.500,445.600,26,0,NaN
Alaskaspongiella,428.200,418.700,1,0,NaN
Alaskiella,409.100,402.500,1,1,0.1579
Alaskospira,436.000,412.300,28,1,0.0384
Alaskozygopleura,391.900,383.700,3,0,NaN
Alastega,426.200,422.900,1,1,0.0905
Alataucyathus,520.000,516.000,24,0,NaN
Alataurus,520.000,516.000,1,0,NaN
Alatoproductus,272.500,252.300,3,0,NaN
Alatorthotetina,268.000,254.000,6,0,NaN
Albanites,251.300,247.200,7,3,0.1128
Albansia,513.000,501.000,1,0,NaN
Albertechinus,391.900,379.500,32,0,NaN
Albertella,516.000,505.000,31,29,0.4493
Albertellina,516.000,505.000,24,23,0.2949
Albertelloides,516.000,505.000,10,7,0.3318
Alberticoryphe,416.000,388.100,10,0,NaN
Albertoceras,478.600,471.800,1,0,NaN
Alborsella,501.000,488.300,1,0,NaN
Albrunnicola,516.000,513.000,4,0,NaN
Alceste,449.500,443.700,1,1,0.0345
Alcimocrinus,318.100,314.600,1,0,NaN
Alcithoe,11.608,2.588,3,0,NaN
Alconeracyathus,520.000,516.000,2,0,NaN
Aldanaspis,505.000,501.000,2,0,NaN
Aldanella,542.000,516.000,70,10,0.0737
Aldanispirifer,409.100,391.900,1,0,NaN
Aldanocyathus,530.000,513.000,97,0,NaN
Aldanolina,542.000,530.000,1,0,NaN
Aldanotreta,542.000,520.000,5,0,NaN
Aldebarania,70.600,65.500,5,2,1.0000
Alderina,40.400,37.200,1,0,NaN
Aldina,279.500,272.500,2,2,0.2276
Aldonaia,516.000,513.000,3,2,0.7143
Alectryonella,0.12,0.12,2,0,NaN
Alectryonia,205.600,37.200,29,0,NaN
Aleteceras,105.300,99.600,3,0,NaN
Alexandricyathus,516.000,513.000,5,0,NaN
Alexandronautilus,259.000,254.000,2,0,NaN
Alexenia,303.400,265.000,7,1,0.0769
Alexogyra,235.000,232.000,1,1,0.0095
Algericeras,99.600,93.500,1,0,NaN
Algerina,422.900,421.300,3,1,0.0005
Aliabadia,212.000,205.600,1,0,NaN
Alichovia,471.800,460.900,2,0,NaN
Aliculastrum,28.400,23.030,1,1,0.0400
Alinkioduncanella,345.300,326.400,1,0,NaN
Aliofusus,99.600,93.500,1,0,NaN
Alisocrinus,428.200,422.900,3,0,NaN
Alispira,443.700,422.900,3,0,NaN
Alispirifer,345.300,326.400,1,0,NaN
Alispiriferella,298.900,259.000,13,1,0.0035
Alitaria,339.400,326.400,3,0,NaN
Alkhovikovia,412.300,402.500,2,0,NaN
Allagecrinus,360.700,303.400,4,0,NaN
Allanaria,383.700,376.100,6,0,NaN
Allanella,388.100,382.400,31,0,NaN
Allantopora,65.500,61.700,1,1,0.0205
Allatheca,542.000,513.000,36,15,0.0831
Alleynia,388.100,383.700,1,0,NaN
Alleynodictyon,460.900,455.800,3,0,NaN
Alligaticeras,164.700,155.700,7,5,0.0057
Allocatillocrinus,336.000,326.400,1,0,NaN
Allochiton,196.500,189.600,3,0,NaN
Alloclionites,215.560,212.000,2,1,0.1667
Allocoenia,167.700,145.500,15,2,0.1543
Allocoeniopsis,201.600,164.700,11,1,0.0926
Allocosmia,242.000,201.600,2,1,0.2000
Allocrinus,436.000,426.200,9,0,NaN
Allocrioceras,99.600,89.300,7,0,NaN
Allodesma,460.900,449.500,1,0,NaN
Alloiteausmilia,189.600,183.000,2,2,0.0089
Allomma,130.000,93.500,2,2,0.0182
Allophyllum,259.000,254.000,1,0,NaN
Allopiloceras,488.300,471.800,1,0,NaN
Alloprosallocrinus,345.300,345.000,2,1,0.0021
Allorhynchus,360.700,252.300,44,3,0.0195
Allorisma,418.700,254.000,23,8,0.0237
Allosaccus,468.100,466.000,4,0,NaN
Allosocrinus,290.100,279.500,1,1,0.0039
Allostrophia,235.000,205.600,2,1,1.0000
Allotropiocarinophyllum,298.900,295.000,1,0,NaN
Allotropiochisma,303.400,254.000,14,10,0.1397
Allotropiophyllum,353.800,254.000,29,0,NaN
Allozygocrinus,436.000,428.200,2,0,NaN
Allumettoceras,452.000,445.600,17,2,0.4330
Almites,298.900,272.500,19,6,0.0759
Alocolytoceras,175.600,171.600,2,0,NaN
Aloconatica,5.332,0.781,2,0,NaN
Aloides,11.608,5.332,1,0,NaN
Aloidis,23.030,0.012,8,5,0.0370
Alokistocare,513.000,505.000,22,1,0.0526
Alokistocarella,513.000,501.000,1,0,NaN
Alpavlia,298.900,279.500,19,3,0.0218
Alphachoristites,318.100,306.950,1,1,0.0016
Alphaneospirifer,254.000,252.300,6,0,NaN
Alpinophyllia,221.500,205.600,2,1,0.0417
Alpinoseris,221.500,201.600,1,0,NaN
Alpinothalamia,242.000,205.600,34,0,NaN
Alpinotubus,235.000,221.500,1,0,NaN
Alsatites,201.600,196.500,3,2,0.0108
Altaiaspis,501.000,488.300,2,0,NaN
Altaicyathus,516.000,513.000,3,0,NaN
Altaiophyllum,388.100,383.700,1,0,NaN
Altaja,428.200,422.900,6,0,NaN
Altajella,412.300,409.100,5,0,NaN
Alternifenestella,388.100,254.000,87,3,0.0047
Altha,478.600,466.000,1,0,NaN
Altikolia,513.000,501.000,1,0,NaN
Altiocculus,513.000,505.000,3,0,NaN
Altiplecus,298.900,259.000,13,1,0.0577
Altrix,48.600,40.400,2,0,NaN
Altudoceras,272.500,259.000,16,0,NaN
Alula,272.500,268.000,1,0,NaN
Alurites,318.100,314.600,15,15,0.0279
Alvania,65.500,0.000,24,10,0.0239
Alveinus,15.970,11.608,3,0,NaN
Alveolella,421.300,418.700,1,0,NaN
Alveolitella,416.000,382.400,36,0,NaN
Alveolites,436.000,254.000,381,8,0.0312
Alveopora,58.700,0.005,94,6,0.0417
Amaea,40.400,37.200,1,0,NaN
Amalda,28.400,0.012,15,0,NaN
Amaltheus,189.600,183.000,17,11,0.0238
Amandaraia,418.700,412.300,1,0,NaN
Amandophyllum,314.600,268.000,7,0,NaN
Amaraphyllum,391.900,383.700,2,0,NaN
Amarassites,221.500,205.600,1,0,NaN
Amarodes,150.800,145.500,1,1,0.0053
Amaura,28.400,23.030,1,0,NaN
Amaurellina,83.500,33.900,22,9,0.0062
Amauropsis,242.000,15.970,15,1,0.0017
Amaurospina,40.400,37.200,1,0,NaN
Amaurotoma,345.000,272.500,11,2,0.0558
Amazonoproductus,318.100,314.600,1,0,NaN
Amberleya,196.500,189.600,2,0,NaN
Ambigostrea,99.600,65.500,56,1,0.0254
Ambikella,290.100,252.300,16,3,0.0200
Ambites,252.300,251.300,4,1,0.5000
Ambithalamia,254.000,252.300,1,0,NaN
Ambitoides,252.300,251.300,2,0,NaN
Amblychilepas,0.126,0.012,1,0,NaN
Amblycranium,488.300,468.100,8,2,0.0035
Amblypygus,55.800,33.900,4,2,0.0135
Amblysiphonella,449.500,201.600,204,41,0.1305
Amblysiphonelloides,460.900,443.700,2,0,NaN
Amblytochiton,460.900,449.500,1,0,NaN
Ambocardia,70.600,65.500,4,0,NaN
Ambocoelia,418.700,295.000,124,26,0.0409
Ambonicardia,99.600,93.500,2,0,NaN
Ambonolium,498.500,488.300,2,0,NaN
Ambonychia,457.500,409.100,221,180,0.0479
Ambonychinia,455.800,449.500,17,13,0.0078
Ambonychiopsis,452.000,449.500,21,1,0.0037
Ambothyris,416.000,376.100,11,1,0.0565
Ambozone,313.800,259.000,9,6,0.0123
Amecephalina,516.000,513.000,1,0,NaN
Amecephalites,513.000,501.000,2,2,0.2000
Amecephaloides,516.000,513.000,2,0,NaN
Amecephalus,513.000,505.000,24,4,0.5304
Amechilus,488.300,478.600,2,0,NaN
Amecystis,460.900,449.500,6,0,NaN
Ameghinomya,23.030,15.970,1,0,NaN
Americardia,48.600,0.007145,23,9,0.0051
Ameropiltonia,360.700,353.800,3,0,NaN
Ametoria,272.500,268.000,2,0,NaN
Ameura,326.400,295.000,10,0,NaN
Amgaspis,513.000,505.000,2,0,NaN
Amiantis,11.608,0.12,3,0,NaN
Amictocracens,504.000,501.000,1,0,NaN
Amicytheridea,171.600,161.200,19,0,NaN
Amissopecten,416.000,388.100,8,0,NaN
Amitchellia,145.500,140.200,2,2,0.1667
Ammagnostus,513.000,498.500,4,0,NaN
Ammonitoceras,122.460,112.030,3,0,NaN
Amnestostroma,416.000,412.300,5,0,NaN
Amnicola,28.400,20.430,1,0,NaN
Amoeboceras,161.200,155.700,8,0,NaN
Amoenirhynchia,235.000,221.500,4,3,0.1249
Amoenophyllites,416.000,391.900,2,0,NaN
Amoenospirifer,409.100,388.100,12,5,0.0735
Amonotis,235.000,221.500,1,0,NaN
Amoria,2.588,0.012,4,0,NaN
Amotapus,55.800,48.600,1,1,0.0645
Ampakabastraea,221.500,155.700,11,4,0.0617
Ampelocrinus,336.000,326.400,1,0,NaN
Ampezzalina,212.000,205.600,1,1,0.0146
Ampezzania,221.500,205.600,2,0,NaN
Ampezzogyra,235.000,232.000,1,1,0.0190
Ampezzonaticopsis,232.000,221.500,1,0,NaN
Ampezzopleura,251.300,205.600,6,2,0.0043
Ampezzotrochus,235.000,232.000,1,0,NaN
Amphiastrea,171.600,93.500,66,16,0.0289
Amphiaulastrea,150.800,122.460,14,10,0.0248
Amphiblestrella,65.500,61.700,1,0,NaN
Amphiblestrum,155.700,28.400,2,0,NaN
Amphiclina,235.000,201.600,28,13,0.0206
Amphiclinodonta,232.000,183.000,4,1,0.0013
Amphicoelia,455.800,421.300,10,3,0.0199
Amphicrinus,336.000,303.400,7,0,NaN
Amphicyrtoceras,443.700,422.900,15,0,NaN
Amphidonte,161.200,65.500,109,16,0.1505
Amphigeisina,530.000,501.000,27,3,0.0325
Amphigenia,409.100,388.100,11,0,NaN
Amphilichas,466.000,443.700,58,10,0.0084
Amphimeandra,161.200,150.800,1,0,NaN
Amphiocoelia,422.900,421.300,1,0,NaN
Amphiope,33.900,28.400,1,0,NaN
Amphipella,279.500,272.500,3,0,NaN
Amphiphora,150.800,145.500,1,0,NaN
Amphipora,428.200,370.600,297,37,0.2859
Amphipsalidocrinus,428.200,305.900,6,0,NaN
Amphiscapha,326.400,272.500,91,62,0.0723
Amphissites,402.500,252.300,62,3,0.0254
Amphistrophia,436.000,421.300,30,0,NaN
Amphithalamus,15.970,5.332,2,0,NaN
Amphithelion,83.500,70.600,1,0,NaN
Amphitomaria,235.000,205.600,2,2,0.0247
Amphitoxotis,426.200,422.900,1,0,NaN
Amphitriscoelus,130.000,112.030,7,0,NaN
Amphitrochus,205.600,164.700,4,2,0.0634
Amphiura,99.600,65.500,7,2,0.0152
Amphorometra,83.500,65.500,5,0,NaN
Amphytrion,455.800,452.000,4,0,NaN
Amplaspongia,460.900,449.500,3,0,NaN
Amplexiphyllum,409.100,383.700,20,0,NaN
Amplexizaphrentis,353.800,254.000,51,0,NaN
Amplexocarinia,391.900,254.000,55,3,0.0078
Amplexograptus,466.000,443.700,15,0,NaN
Amplexoides,439.000,412.300,16,0,NaN
Amplexopora,471.800,422.900,53,12,0.0720
Amplexus,443.700,259.000,61,4,0.0880
Ampullina,247.200,11.608,129,43,0.0214
Ampullinopsis,40.400,20.430,21,2,0.0577
Ampullonatica,33.900,28.400,2,0,NaN
Ampullospira,235.000,15.970,48,19,0.0239
Ampuloides,428.200,376.100,4,0,NaN
Ampyx,488.300,416.000,36,1,0.0299
Ampyxina,466.000,449.500,8,0,NaN
Ampyxinella,455.800,449.500,1,0,NaN
Ampyxoides,471.800,460.900,2,0,NaN
Amsassia,457.500,443.700,12,0,NaN
Amsassipora,449.500,443.700,1,0,NaN
Amsdenina,422.900,418.700,1,0,NaN
Amuletum,83.500,37.200,3,1,0.0059
Amusium,242.000,0.012,66,19,0.0695
Amussiopecten,33.900,2.588,14,1,0.0015
Amydrocarcinus,55.800,33.900,1,0,NaN
Amydroptychus,171.600,155.700,4,3,0.0273
