Bin,Bin name,Base Ma,Midpoint Ma,Sampled genera,Range-through genera,Boundary-crosser genera,First appearances,Last appearances,Singletons,Two timer genera,Three timer genera,Part timer genera,3T origination rate,3T extinction rate,One-occurrence genera,One-reference genera,Good's u,Three timer sampling stat,Three timer diversity estimate,Collections,Occurrences
15,Devonian 4,383.7,379.9,564,905,704,201,342,153,334,128,54,0.507,1.194,192,269,0.953,0.703,801.9,1465,5943
14,Devonian 3,391.9,387.8,1428,1620,1001,619,916,436,590,201,12,0.743,1.312,459,628,0.96,0.944,1513.3,2168,15797
13,Devonian 2,409.1,400.5,1130,1484,979,505,483,264,555,354,127,0.746,0.685,479,640,0.859,0.736,1535.4,694,4600
12,Devonian 1,418.1,413.6,1230,1477,843,634,498,283,545,278,53,0.926,0.908,495,616,0.912,0.84,1464.5,974,7156
11,Silurian 2,428.2,423.1,1599,1732,841,891,889,565,579,254,23,0.999,1.059,516,695,0.95,0.917,1743.8,1473,14247
10,Silurian 1,443.7,435.9,931,1155,614,541,314,196,322,221,87,1.198,0.611,363,465,0.937,0.718,1297.5,1195,7554
9,Ordovician 5,450,446.9,1005,1170,829,341,556,208,630,230,62,0.572,1.243,381,455,0.941,0.788,1275.9,1185,8035
8,Ordovician 4,460.9,455.4,1366,1435,616,819,606,399,436,259,15,1.124,0.756,469,603,0.964,0.945,1445.1,2366,17603
7,Ordovician 3,466,463.4,675,830,505,325,214,91,325,201,98,1.009,0.716,251,332,0.902,0.672,1004.1,563,3496
6,Ordovician 2,488.3,477.1,828,888,337,551,383,250,267,111,20,1.309,1.113,304,385,0.917,0.847,977.2,842,4763
5,Ordovician 1,490,489.1,589,623,164,459,286,201,120,38,9,2.185,1.385,247,329,0.878,0.809,728.5,642,2794
4,Cambrian 4,501,495.5,569,599,166,433,435,323,131,17,9,2.189,2.277,189,294,0.908,0.654,870.2,741,3262
3,Cambrian 3,513,507,615,633,167,466,467,347,148,23,3,1.975,2.097,209,333,0.922,0.885,695.2,912,4385
2,Cambrian 2,542,527.5,1008,1011,47,964,844,816,44,16,1,2.46,1.247,331,482,0.934,0.941,1071,1174,7401
1,Cambrian 1,542,542,63,63,0,63,16,16,NA,NA,NA,NA,NA,30,28,0.876,NA,NA,71,247
