genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Acanthotrophon,7.246,5.332,4,4,0.0019
Acastava,416.000,412.300,3,0,NaN
Acaste,439.000,391.900,15,0,NaN
Acastella,418.700,409.100,31,0,NaN
Acastoides,412.300,391.900,7,0,NaN
Acculina,460.900,449.500,2,2,0.0260
Acdalopora,449.500,443.700,1,0,NaN
Acernaspis,439.000,428.200,22,1,0.0020
Acerocare,501.000,488.300,2,0,NaN
Acerocarina,488.300,478.600,4,0,NaN
Acesta,164.700,2.588,68,24,0.0193
Acharax,48.600,2.588,18,0,NaN
Achatella,460.900,443.700,3,0,NaN
Acheilops,501.000,488.300,1,0,NaN
Achistrum,388.100,155.700,87,32,0.2038
Achrochordiella,40.400,33.900,1,0,NaN
Aciculiscala,83.500,65.500,7,6,0.0024
Aciculolenus,501.000,488.300,1,1,0.1181
Acidaspis,455.800,422.900,5,1,0.0026
Acidiphorus,488.300,471.800,7,0,NaN
Acidolites,460.900,439.000,3,0,NaN
Acila,99.600,0.012,334,32,0.0758
Acirsa,136.400,0.012,69,36,0.0009
Acirsella,58.700,48.600,2,0,NaN
Aclis,33.900,2.588,6,0,NaN
Aclisina,336.000,254.000,3,0,NaN
Acmaea,122.460,0.012,190,25,0.0063
Acmarhachis,501.000,488.300,19,0,NaN
Acmaturris,3.600,2.588,1,0,NaN
Acompsoceras,105.300,93.500,5,3,0.1087
Aconeceras,130.000,109.000,14,0,NaN
Acosarina,295.000,251.300,71,6,0.0363
Acosmia,520.000,516.000,3,2,0.0009
Acratia,360.700,235.000,11,3,0.0342
Acrhelia,55.800,2.588,2,0,NaN
Acridomima,201.600,196.500,1,1,0.0238
Acrilla,37.200,33.900,9,0,NaN
Acrioceras,136.400,125.450,8,3,0.2500
Acritosia,268.000,265.000,1,0,NaN
Acrocanites,353.800,345.300,1,0,NaN
Acrocephalops,501.000,488.300,1,0,NaN
Acrochordiceras,251.300,242.000,8,3,0.2500
Acrochordonia,125.450,89.300,3,0,NaN
Acrocoelites,183.000,155.700,42,0,NaN
Acrocoelum,83.500,40.400,17,14,0.0095
Acrocrinus,336.000,326.400,2,2,0.0052
Acrocythere,180.100,171.600,31,0,NaN
Acrogenia,388.100,383.700,2,0,NaN
Acrograptus,478.600,463.500,5,0,NaN
Acromocoris,183.000,182.000,2,2,0.0577
Acropora,37.200,0.119,47,22,0.0694
Acropsammia,23.030,15.970,1,0,NaN
Acropyge,254.000,252.300,1,0,NaN
Acrosalenia,167.700,155.700,4,1,0.0054
Acrosmilia,164.700,55.800,9,0,NaN
Acrospirifer,416.000,388.100,83,12,0.1141
Acrostemma,55.800,48.600,1,0,NaN
Acrosterigma,23.030,0.012,30,5,0.0024
Acroteuthis,145.500,125.450,26,0,NaN
Acrothele,520.000,449.500,29,1,0.0007
Acrothyra,501.000,488.300,1,0,NaN
Acrotreta,516.000,455.800,21,1,0.0419
Actaeon,61.700,15.970,6,5,0.0016
Actaeonidea,61.700,58.700,1,0,NaN
Actaeopyramis,61.700,0.012,9,7,0.0004
Acteocina,61.700,0.000,174,71,0.0051
Acteon,140.200,0.012,325,205,0.0043
Acteonella,122.460,65.500,44,1,0.0007
Acteonina,254.000,65.500,29,10,0.0250
Actinacis,122.460,23.030,8,1,0.0122
Actinaraea,140.200,93.500,2,1,0.0725
Actinastrea,201.600,15.970,39,13,0.1351
Actinhelia,70.600,65.500,1,0,NaN
Actinoblattula,205.600,201.600,1,1,0.0303
Actinocamax,99.600,83.500,9,9,0.1559
Actinoceramus,125.450,89.300,67,37,0.0914
Actinoceras,460.900,428.200,7,0,NaN
Actinochilina,460.900,449.500,2,0,NaN
Actinoconchus,360.700,259.000,9,4,0.0513
Actinocrinites,360.700,290.100,9,5,0.1112
Actinocythereis,15.970,3.600,5,0,NaN
Actinodesma,409.100,360.700,13,4,0.0326
Actinodochmioceras,436.000,426.200,1,0,NaN
Actinodonta,478.600,457.500,9,0,NaN
Actinodontophora,272.500,252.300,3,0,NaN
Actinomena,460.900,449.500,5,0,NaN
Actinopeltis,460.900,443.700,18,0,NaN
Actinophlebia,183.000,182.000,3,3,0.0027
Actinophlebioides,136.400,130.000,1,1,0.0370
Actinophrentis,306.950,295.000,2,0,NaN
Actinopteria,436.000,318.100,252,105,0.0393
Actinosepia,83.500,65.500,3,0,NaN
Actinostreon,196.500,150.800,127,89,0.0228
Actinostroma,416.000,388.100,4,0,NaN
Actuaria,272.500,268.000,1,0,NaN
Acturellina,15.970,11.608,5,0,NaN
Acuminothyris,360.700,326.400,4,0,NaN
Acutatheca,383.700,376.100,1,0,NaN
Acutichiton,313.800,295.000,2,1,1.0000
Acuticostites,150.800,145.500,4,0,NaN
Acuticythereis,5.332,3.600,1,0,NaN
Acutimitoceras,376.100,345.300,17,14,0.0776
Acutipuerilis,460.900,455.800,1,0,NaN
Acutiramus,418.700,416.000,1,0,NaN
Acutostrea,99.600,23.030,18,2,0.2598
Adacrinus,303.400,302.200,1,0,NaN
Adairia,326.400,318.100,1,0,NaN
Adamnestia,2.588,0.012,1,0,NaN
Adaptyxis,130.000,112.030,2,0,NaN
Addisonia,3.600,2.588,6,6,0.0095
Adeloblatta,311.450,306.950,2,0,NaN
Adelocoenia,125.450,93.500,3,1,0.2222
Adelograptus,488.300,478.600,5,0,NaN
Adelomelon,23.030,0.000,14,1,0.0003
Adeloneura,311.450,306.950,1,1,1.0000
Adelopneustes,65.500,61.700,3,0,NaN
Adelphobolbina,388.100,383.700,8,1,0.0053
Ademosyne,247.200,242.000,2,2,0.7071
Adeonella,5.332,2.588,1,0,NaN
Adeonellopsis,55.800,1.7,10,3,0.0012
Adeorbis,58.700,0.012,14,0,NaN
Adeuomphalus,140.200,136.400,1,1,0.0001
Adiaphtharsia,311.450,306.950,1,1,0.0169
Adinocrinus,345.300,342.800,1,0,NaN
Adiphlebia,311.450,306.950,6,6,0.1470
Adlatipora,295.000,290.100,1,0,NaN
Admete,61.700,0.126,16,9,0.0122
Admetula,61.700,3.5,12,8,0.0041
Admirandopora,345.300,318.100,1,0,NaN
Adnatoceras,318.100,314.600,1,0,NaN
Adolarryia,311.450,306.950,1,1,1.0000
Adolfia,412.300,379.500,10,1,0.0019
Adrana,40.400,1.6,27,7,0.0018
Adrianites,272.500,268.000,1,0,NaN
Adula,48.600,0.012,5,0,NaN
Adumbratomorpha,279.500,272.500,1,1,0.0029
Advenaster,164.700,161.200,1,0,NaN
Advenina,140.200,136.400,1,0,NaN
Adygella,247.200,242.000,2,2,0.0032
Adynasia,201.600,196.500,1,0,NaN
Aechmella,70.600,65.500,1,0,NaN
Aechmina,455.800,290.100,17,0,NaN
Aechminella,318.100,314.600,2,0,NaN
Aegasteroceras,196.500,189.600,4,0,NaN
Aeger,205.600,171.600,2,1,1.0000
Aegiria,457.500,418.700,57,13,0.0360
Aegiromena,463.500,428.200,33,1,0.0384
Aegoceras,189.600,183.000,8,0,NaN
Aegocrioceras,136.400,130.000,1,0,NaN
Aeneator,55.800,0.126,8,0,NaN
Aenigmatodes,311.450,306.950,1,1,0.0169
Aenigmoilus,136.400,130.000,1,0,NaN
Aenona,83.500,65.500,81,73,0.0126
Aequipecten,196.500,0.000,271,53,0.0025
Aesiocrinus,303.400,302.200,1,0,NaN
Aesopomum,422.900,402.500,8,4,0.0074
Aesopus,2.9,0.122,15,3,0.0072
Aetea,5.332,3.600,1,0,NaN
Aethocola,19.000,15.900,3,0,NaN
Aethocrinus,488.300,478.600,1,0,NaN
Aethophlebia,311.450,306.950,1,1,0.0169
Aetostreon,140.200,112.030,15,5,0.0632
Affinocrinus,318.100,311.450,4,0,NaN
Aforia,40.400,4.5,8,1,0.0104
Africarca,48.600,40.400,2,0,NaN
Africogryphaea,167.700,161.200,4,4,0.2193
Africoterebellum,48.600,40.400,6,0,NaN
Afrocardium,0.781,0.012,3,0,NaN
Afrocytheridea,164.700,161.200,2,0,NaN
Afrollonia,122.460,112.030,3,0,NaN
Afroperla,254.000,252.300,1,1,0.0625
Afrostenovicia,254.000,252.300,1,1,0.3333
Agaeoleptoptera,318.100,306.950,1,1,0.3333
Aganaster,345.300,259.000,8,4,0.2022
Agapella,125.450,112.030,2,1,0.0012
Agapilia,28.400,12.700,17,1,0.0430
Agaricia,11.608,0.781,91,84,0.0972
Agaricocrinus,353.800,342.800,8,2,0.1443
Agariste,3.600,2.588,1,1,0.0031
Agaronia,65.500,0.012,111,68,0.0061
Agaso,513.000,501.000,4,0,NaN
Agasoma,37.200,13.600,22,0,NaN
Agassiceras,196.500,189.600,3,0,NaN
Agassizia,40.400,2.588,5,0,NaN
Agassizocrinus,336.000,326.400,3,3,0.0052
Agatha,55.800,0.000,3,0,NaN
Agathelia,145.500,130.000,2,0,NaN
Agathiceras,303.400,259.000,51,16,0.2493
Agathiphyllia,37.200,15.970,11,6,0.0244
Agathistoma,5.332,0.000,16,11,0.0071
Agathocrinus,376.100,360.700,1,1,0.0104
Agathodonta,122.460,33.900,2,0,NaN
Agathotoma,23.030,0.012,3,2,0.0003
Agatrix,33.900,1.7,26,21,0.0036
Agelacrinites,460.900,449.500,2,0,NaN
Agelagma,513.000,501.000,3,0,NaN
Agerchlamys,205.600,175.600,49,10,0.7976
Ageria,70.600,65.500,1,1,0.2000
Agerina,478.600,468.100,1,1,0.1837
Agerostrea,83.500,3.600,50,6,0.0121
Agetochorista,279.500,252.300,19,19,0.0196
Agetolites,449.500,443.700,1,0,NaN
Agetopanorpa,279.500,268.000,6,6,0.0352
Agladrillia,20.430,0.781,76,33,0.0050
Aglaocrinus,314.600,302.200,5,0,NaN
Aglaoglypta,383.700,360.700,4,0,NaN
Aglaspis,501.000,488.300,1,0,NaN
Agmoblastus,303.400,295.000,1,0,NaN
Agnostotes,501.000,488.300,1,0,NaN
Agnostus,530.000,488.300,18,0,NaN
Agogoblattina,311.450,306.950,1,0,NaN
Agoniatites,391.900,383.700,10,0,NaN
Agraulos,513.000,488.300,7,1,0.0779
Agrawalimya,171.600,161.200,4,4,0.0277
Agrenocythere,55.800,48.600,1,1,0.0029
Agrionidium,145.500,140.200,1,0,NaN
Agriopoma,37.200,0.000,71,5,0.0071
Aguilerella,201.600,130.000,13,7,0.0373
Aguileria,99.600,93.500,9,0,NaN
Ahtiella,466.000,463.500,1,1,0.4198
Aibolitus,279.500,272.500,3,3,0.0130
Aimulosia,55.800,1.7,3,2,0.0015
Ainicardita,33.900,5.332,20,0,NaN
Aioloceras,125.450,112.030,1,0,NaN
Aipoceras,360.700,353.800,1,1,0.0667
Aissoblatta,265.000,259.000,1,1,1.0000
Akadocrinus,513.000,501.000,2,0,NaN
Akagophyllum,306.950,298.900,3,0,NaN
Akatchania,295.000,279.500,3,1,1.0000
Akatopora,83.500,48.600,2,0,NaN
Akera,164.700,0.012,8,2,0.0002
Akidograptus,443.700,439.000,9,0,NaN
Akleistostoma,13.650,2.588,9,0,NaN
Akmilleria,290.100,279.500,4,1,0.0417
Akmolina,488.300,478.600,1,1,0.0032
Akrosphaeorthoceras,416.000,412.300,1,1,0.0833
Akrosphaerorthoceras,421.300,418.700,1,0,NaN
Alaba,61.700,0.012,36,24,0.0031
Alabina,15.970,0.012,39,30,0.0187
Alabushevothyris,112.030,105.300,1,1,0.2143
Alakiria,201.600,196.500,1,1,0.2000
Alanites,247.200,242.000,1,0,NaN
Alanympha,311.450,306.950,1,1,0.0526
Alaria,161.200,89.300,12,3,0.0127
Alaskadiscus,460.900,449.500,1,0,NaN
Alaskospira,422.900,418.700,2,0,NaN
Alatacythere,70.600,65.500,1,0,NaN
Alatiformia,391.900,388.100,1,0,NaN
Alatoproductus,268.000,254.000,3,0,NaN
Alatorthotetina,259.000,254.000,1,0,NaN
Albanites,251.300,247.200,5,0,NaN
Albertella,513.000,505.000,4,0,NaN
Albrunnicola,516.000,513.000,2,0,NaN
Alceste,449.500,445.600,1,0,NaN
Alcira,5.332,3.600,1,1,0.0008
Alcithoe,33.900,0.126,39,0,NaN
Aldanella,530.000,520.000,17,13,0.1346
Aldanispirifer,428.200,409.100,2,1,0.3379
Aldebarania,70.600,65.500,1,1,1.0000
Alderina,70.600,48.600,2,0,NaN
Aldingia,37.200,33.900,4,0,NaN
Aldrichiella,65.500,61.700,1,0,NaN
Alectryonia,196.500,3.600,26,20,0.0348
Aleteceras,105.300,99.600,1,0,NaN
Aletes,0.126,0.012,9,0,NaN
Aleuronympha,254.000,252.300,3,1,0.0208
Alexandronautilus,259.000,254.000,1,0,NaN
Alexenia,303.400,298.900,1,0,NaN
Alexogyra,167.700,164.700,1,0,NaN
Alichovia,488.300,478.600,1,1,0.0032
Aliculastrum,48.600,0.012,10,3,0.0019
Aligena,20.430,0.000,29,10,0.0031
Aliofusus,99.600,65.500,11,9,0.0099
Aliomactra,99.600,93.500,7,0,NaN
Alipunctifera,235.000,221.500,1,0,NaN
Alisocrinus,422.900,418.700,1,0,NaN
Alispira,436.000,428.200,1,0,NaN
Alispirifer,345.300,306.950,31,4,0.1554
Alispiriferella,296.400,254.000,27,9,0.1770
Alkaidia,105.300,93.500,7,7,0.3488
Alkenia,409.100,402.500,1,0,NaN
Alkenopterus,409.100,402.500,1,0,NaN
Allagecrinus,360.700,353.800,2,0,NaN
Allanella,388.100,383.700,62,8,0.1077
Allanetes,412.300,391.900,2,0,NaN
Allanicytidium,409.100,391.900,1,0,NaN
Allantospongia,520.000,516.000,3,1,0.0154
Allatheca,542.000,530.000,1,1,1.0000
Alleynia,388.100,383.700,1,0,NaN
Alligaticeras,164.700,155.700,7,5,0.0057
Alloclionites,215.560,212.000,10,0,NaN
Allocoeniopsis,196.500,189.600,1,0,NaN
Allocosmia,247.200,242.000,2,2,0.0046
Allocrioceras,99.600,85.800,4,3,0.0121
Allognosis,183.000,182.000,1,0,NaN
Allograptus,478.600,468.100,3,0,NaN
Alloiteausmilia,189.600,183.000,1,1,0.0171
Allomma,99.600,93.500,3,3,0.0044
Allonema,416.000,409.100,4,0,NaN
Alloprosallocrinus,345.300,342.800,1,0,NaN
Alloraphidia,99.600,93.500,1,1,0.1667
Allorhynchus,360.700,353.800,1,0,NaN
Allorisma,353.800,252.300,18,5,0.0488
Allosocrinus,305.900,302.200,2,0,NaN
Allostrophia,259.000,254.000,1,0,NaN
Allotropiochisma,306.950,259.000,2,0,NaN
Allotropiophyllum,336.000,272.500,3,0,NaN
Allumettoceras,457.500,455.800,2,2,1.0000
Almenia,520.000,516.000,1,0,NaN
Almites,303.400,279.500,19,7,0.0362
Alocaxis,58.700,55.800,1,1,0.0092
Alococoncha,468.100,460.900,1,0,NaN
Alocolytoceras,180.100,171.600,5,0,NaN
Aloconatica,5.332,2.588,1,0,NaN
Alocopocythere,55.800,40.400,3,0,NaN
Aloides,11.608,5.332,1,0,NaN
Aloidis,11.608,0.000,19,5,0.0370
Alokistocare,513.000,498.500,16,3,0.0551
Alokistocarella,513.000,505.000,1,0,NaN
Alora,15.970,11.608,2,0,NaN
Alpavlia,303.400,298.900,1,0,NaN
Alphaneospirifer,265.000,252.300,5,0,NaN
Alpinites,364.700,360.700,1,1,0.0013
Alsatites,201.600,196.500,4,2,0.4714
Altaethyrella,449.500,443.700,1,1,0.9378
Altairia,112.030,99.600,3,3,0.1144
Altaspiratella,55.800,48.600,3,3,0.0009
Alternifenestella,303.400,254.000,23,0,NaN
Altiplanelaspis,488.300,478.600,1,0,NaN
Altudoceras,272.500,254.000,16,0,NaN
Alueva,542.000,513.000,2,0,NaN
Alula,272.500,252.300,2,0,NaN
Aluta,516.000,513.000,1,0,NaN
Alutella,516.000,513.000,3,0,NaN
Alvania,83.500,0.000,212,98,0.0044
Alveinus,55.800,2.588,62,35,0.0588
Alveolites,436.000,376.100,16,0,NaN
Alveopora,37.200,5.332,10,2,0.0208
Alytodonta,443.700,428.200,1,0,NaN
Amaea,122.460,0.012,17,5,0.0021
Amalda,55.800,0.126,102,34,0.0106
Amaltheocrinus,196.500,189.600,1,0,NaN
Amaltheus,185.700,184.100,56,0,NaN
Amandophyllum,306.950,298.900,2,0,NaN
Amarophos,6.1,4.4,6,6,0.1086
Amaura,65.500,2.588,23,14,0.0102
Amaurellina,83.500,23.030,40,18,0.0034
Amauroceras,189.600,183.000,3,0,NaN
Amauropsis,201.600,2.588,32,1,0.0029
Amauropsona,61.700,55.800,2,0,NaN
Amaurospina,48.600,40.400,2,0,NaN
Amaurotoma,326.400,306.950,6,1,0.0003
Amberleya,201.600,189.600,1,0,NaN
Ambigaster,279.500,272.500,3,2,0.3464
Ambigostrea,83.500,65.500,19,7,0.0346
Ambikella,298.900,252.300,97,31,0.0371
Ambilobeia,251.300,247.200,1,0,NaN
Ambipleurus,40.400,37.200,1,0,NaN
Ambites,252.300,247.200,14,3,0.3467
Ambitoides,252.300,251.300,9,1,0.5000
Amblychilepas,11.608,0.012,7,0,NaN
Amblycranium,488.300,478.600,1,0,NaN
Amblysiphonella,314.600,259.000,10,1,0.0833
Ambocoelia,460.900,318.100,263,49,0.0669
Ambocythere,23.030,15.970,2,0,NaN
Ambonicardia,99.600,93.500,2,0,NaN
Ambonychia,456.100,443.700,38,14,0.0592
Ambonychiopsis,457.500,449.500,4,0,NaN
Ambostracon,20.430,15.970,1,0,NaN
Ambrolinevitus,520.000,513.000,18,14,0.0453
Amecephalus,516.000,501.000,4,1,0.5636
Amecystis,460.900,449.500,3,0,NaN
Ameghinomya,23.030,0.000,38,8,0.0184
Amekicythara,55.800,33.900,3,2,0.0118
Ameranella,37.200,15.970,2,0,NaN
Americardia,33.900,0.000,27,11,0.0101
Amerista,426.200,418.700,9,8,0.0283
Ametretus,311.450,306.950,1,1,0.0182
Ameura,306.950,298.900,4,3,0.3293
Amiantis,37.200,0.000,70,11,0.0316
Amicytheridea,164.700,161.200,1,0,NaN
Amissopecten,409.100,391.900,1,0,NaN
Ammagnostus,504.000,501.000,4,2,0.0280
Ammatophora,70.600,65.500,1,0,NaN
Ammonellipsites,353.800,345.300,4,0,NaN
Ammonitoceras,122.460,112.030,3,0,NaN
Ammonoceratites,109.000,99.600,9,0,NaN
Amnicola,3.600,2.588,1,0,NaN
Amoeboceras,161.200,150.800,37,4,0.0199
Amoenospirifer,416.000,391.900,2,0,NaN
Amonotis,221.500,205.600,1,0,NaN
Amoria,15.970,2.588,7,0,NaN
Amosina,428.200,412.300,18,0,NaN
Amotapas,40.400,37.200,2,0,NaN
Amotapus,40.400,33.900,6,0,NaN
Amousus,311.450,306.950,1,1,0.0182
Ampakabastraea,164.700,161.200,3,3,0.1399
Ampezzopleura,235.000,221.500,1,1,0.0833
Amphiaraus,125.450,112.030,1,1,0.0002
Amphiastrea,171.600,93.500,12,6,0.1225
Amphiblestrum,70.600,65.500,1,0,NaN
Amphicoelia,436.000,426.200,5,0,NaN
Amphicyrtoceras,443.700,436.000,1,0,NaN
Amphicytherura,105.300,99.600,1,0,NaN
Amphidonte,140.200,65.500,57,15,0.0711
Amphigeisina,516.000,513.000,1,1,1.0000
Amphigenia,409.100,383.700,10,0,NaN
Amphilichas,463.500,455.800,13,6,0.0371
Amphiocoelia,443.700,428.200,1,0,NaN
Amphiope,20.430,15.970,1,0,NaN
Amphiperas,48.600,37.200,10,0,NaN
Amphipopanoceras,247.200,242.000,25,0,NaN
Amphipora,409.100,376.100,2,0,NaN
Amphipsalidocrinus,360.700,353.800,1,0,NaN
Amphiscapha,326.400,279.500,59,27,0.0535
Amphissa,2.588,0.012,26,0,NaN
Amphissites,364.700,254.000,54,2,0.0710
Amphistrophia,443.700,412.300,36,7,0.0282
Amphithalamus,5.332,0.012,15,0,NaN
Amphitriodites,161.200,155.700,1,0,NaN
Amphitriscoelus,140.200,112.030,3,0,NaN
Amphitrochus,180.100,155.700,7,4,0.0058
Amphiura,99.600,5.332,2,0,NaN
Amphizona,388.100,383.700,4,0,NaN
Amphoracrinus,345.300,342.800,8,1,0.0036
Amphorometra,55.800,48.600,1,0,NaN
Amphytrion,452.000,445.600,4,1,0.0040
Amplectobelua,520.000,516.000,12,8,0.0042
Amplexiphyllum,388.100,383.700,21,9,0.0392
Amplexizaphrentis,345.000,298.900,20,6,0.0649
Amplexocarinia,360.700,272.500,7,1,0.0088
Amplexograptus,471.800,445.600,50,7,0.0905
Amplexoides,436.000,428.200,3,0,NaN
Amplexopora,460.900,426.200,12,0,NaN
Amplexus,388.100,254.000,21,4,0.0055
Amplifallotaspis,520.000,516.000,1,0,NaN
Ampullella,37.200,33.900,2,0,NaN
Ampulliglabella,268.000,265.000,3,0,NaN
Ampullina,247.200,3.600,146,45,0.0130
Ampullinopsis,48.600,23.030,29,13,0.0013
Ampullonatica,48.600,13.650,2,0,NaN
Ampullospira,183.000,33.900,39,26,0.0269
Ampyx,478.600,445.600,56,17,0.0922
Ampyxella,455.800,452.000,4,0,NaN
Ampyxina,457.500,443.700,2,1,0.0526
Ampyxinella,449.500,443.700,1,0,NaN
Amsassia,460.900,449.500,6,0,NaN
Amsdenina,443.700,418.700,2,0,NaN
Amuletum,99.600,37.200,65,49,0.0066
Amusium,336.000,0.012,157,51,0.0081
Amussiopecten,33.900,0.781,30,2,0.0316
Amyclina,23.030,2.588,27,19,0.0013
Amydrocarcinus,55.800,33.900,2,0,NaN
Amygdalocystites,460.900,449.500,5,0,NaN
Amygdalotheca,478.600,466.000,1,0,NaN
Amygdalum,145.500,0.126,11,1,0.0002
Anabaia,443.700,418.700,4,0,NaN
Anabarella,542.000,513.000,3,0,NaN
Anabathron,0.126,0.012,1,0,NaN
Anabolotreta,505.000,501.000,3,0,NaN
Anacaenaspis,436.000,426.200,8,0,NaN
Anacheirurus,488.300,478.600,1,0,NaN
Anachis,23.030,0.000,64,23,0.0109
Anacithara,19.000,15.900,1,0,NaN
Anaconularia,460.900,455.800,2,0,NaN
Anadara,48.600,0.000,1292,306,0.0206
Anadesmoceras,112.030,109.000,10,3,0.0260
Anaflemingites,251.300,247.200,3,0,NaN
Anagastroplites,109.000,105.300,2,0,NaN
Anagaudryceras,112.030,65.500,131,16,0.2249
Anaglyptocrinus,279.500,272.500,1,0,NaN
Anagymnites,247.200,235.000,6,1,0.0476
Anagymnotoceras,247.200,242.000,18,0,NaN
Anagyrinus,201.600,196.500,1,0,NaN
Anahamulina,140.200,125.450,6,2,0.0889
Anahoplites,109.000,93.500,10,6,0.0158
Anakashmirites,251.300,247.200,1,0,NaN
Anaklinoceras,83.500,65.500,5,0,NaN
Anamesocrinus,388.100,383.700,7,5,0.0412
Ananaspis,428.200,412.300,4,0,NaN
Anancaeon,183.000,182.000,1,1,0.1000
Ananias,345.000,254.000,13,0,NaN
Anapachydiscus,85.800,70.600,30,1,0.0006
Anapella,11.608,2.588,3,0,NaN
Anapepta,28.400,15.900,4,2,0.0230
Anapetopsis,428.200,426.200,1,0,NaN
Anapteris,48.600,40.400,4,4,0.0127
Anarcestes,402.500,391.900,1,0,NaN
Anartiocystis,449.500,443.700,2,0,NaN
Anasibirites,251.300,247.200,33,1,0.1000
Anaspyroceras,452.000,409.100,5,1,0.0250
Anastomopora,388.100,383.700,1,1,0.0035
Anastrophia,460.900,412.300,11,1,0.0006
Anataphrus,457.500,452.500,6,0,NaN
Anathyris,409.100,391.900,1,0,NaN
Anatibetites,221.500,205.600,1,0,NaN
Anatimya,99.600,65.500,32,14,0.0041
Anatina,125.450,0.012,9,3,0.0041
Anatolikos,48.600,37.200,1,0,NaN
Anatoma,55.800,0.000,13,9,0.0189
Anatomites,235.000,221.500,1,0,NaN
Anatropites,232.000,221.500,10,5,0.2716
Anatrypa,409.100,402.500,1,0,NaN
Anaulocidaris,235.000,221.500,3,3,0.1989
Anawasatchites,251.300,247.200,15,1,0.1429
Anaxenaspis,252.300,247.200,15,3,0.1979
Anazola,23.030,0.012,11,2,0.0112
Anazyga,456.100,443.700,3,1,0.5000
Anchiopsis,388.100,383.700,1,0,NaN
Anchistrocheles,5.332,3.600,1,0,NaN
Anchorhynchia,265.000,252.300,14,0,NaN
Anchura,122.460,65.500,140,48,0.0095
Ancilla,70.600,0.781,171,62,0.0052
Ancillaria,48.600,40.400,3,0,NaN
Ancillarina,61.700,37.200,3,0,NaN
Ancillotoechia,443.700,409.100,17,0,NaN
Ancistroceras,463.500,460.900,2,0,NaN
Ancistrocrania,93.500,89.300,2,0,NaN
Ancistrolepis,40.400,2.588,18,1,0.0010
Ancistrorhyncha,460.900,443.700,7,0,NaN
Ancistrosyrinx,55.800,48.600,2,0,NaN
Anconia,48.600,23.030,2,0,NaN
Ancyloceras,130.000,112.030,10,3,0.1148
Ancyrocrinus,416.000,383.700,8,1,0.0588
Andangularia,221.500,205.600,1,0,NaN
Andenipora,189.600,183.000,2,0,NaN
Andenothyone,416.000,391.900,1,0,NaN
Anderssonella,494.000,488.300,1,0,NaN
Anderssonoceras,259.000,254.000,6,0,NaN
Andicula,65.500,37.200,2,0,NaN
Andinacaste,416.000,412.300,2,0,NaN
Andinodesma,409.100,391.900,1,0,NaN
Anditrigonia,164.700,109.000,5,0,NaN
